id,activity_time
"3145453","2333974"
"3146396","1661333"
"3147878","417"
"3148820","3296479"
"3150375","7489"
"3153105","163"
"3153206","500358"
"3154362","1957279"
"3154599","733959"
"3154998","4477818"
"3157465","35"
"3159227","9"
"3163903","20036"
"3166792","3346626"
"3168369","1304893"
"3170347","869"
"3170804","504"
"3170925","2256938"
"3171759","47"
"3173079","1107"
"3173104","32"
"3173291","1910357"
"3174756","331"
"3175737","4772436"
"3176316","1465730"
"3176536","656580"
"3178123","2388762"
"3178680","753395"
"3179049","11"
"3181361","85"
"3182500","4386535"
"3183049","4482541"
"3186056","240"
"3186332","4416094"
"3187738","184"
"3188495","2214325"
"3189239","1382297"
"3189697","13"
"3192490","897586"
"3195552","84"
"3196011","1963067"
"3196328","259"
"3197321","4656729"
"3198005","2232001"
"3198104","696968"
"3198928","417875"
"3201594","248464"
"3204186","1987795"
"3205349","172191"
"3207346","2884278"
"3211105","366455"
"3211628","1661"
"3215780","2794958"
"3216399","20"
"3223215","843957"
"3224206","4245"
"3224286","2870147"
"3224648","5195347"
"3224732","115"
"3227608","393559"
"3227801","1291055"
"3232086","16"
"3234145","2426548"
"3234391","43"
"3236596","30073"
"3236651","123"
"3240099","52"
"3243194","6"
"3243583","280"
"3244640","33"
"3245828","475813"
"3249015","359"
"3250789","3280545"
"3251004","594"
"3251237","3739853"
"3251723","2423254"
"3252591","7"
"3253204","93"
"3254512","9"
"3254713","21"
"3255234","4337722"
"3255283","57"
"3256881","158"
"3259822","1088989"
"3261241","50400"
"3262094","1506937"
"3262557","479961"
"3264490","1484"
"3267883","117"
"3269617","215367"
"3270134","3793427"
"3273293","413"
"3273409","132"
"3275199","983273"
"3276685","988"
"3277022","28"
"3280603","3396"
"3282408","1092960"
"3283664","68"
"3284277","29"
"3285507","508"
"3290283","1665031"
"3291750","12"
"3292830","1139"
"3293192","77"
"3294640","20"
"3294862","30"
"3297125","3810728"
"3299202","28"
"3302946","5252433"
"3305378","267760"
"3306902","230"
"3309064","1434"
"3311158","93"
"3315914","5154097"
"3316064","560911"
"3316332","206"
"3324026","110"
"3324257","579"
"3327423","344479"
"3328235","4760052"
"3330348","10"
"3330467","978602"
"3331195","1271571"
"3331431","5"
"3331894","196"
"3332357","53"
"3333856","723168"
"3336636","1077366"
"3337571","1072262"
"3337597","45"
"3337672","52"
"3338128","311"
"3339894","200791"
"3340020","939"
"3341642","496494"
"3342121","250"
"3343789","1338584"
"3344170","24474"
"3346265","2961"
"3351272","648216"
"3354242","3446033"
"3355822","1055996"
"3356576","2784094"
"3358149","9"
"3362207","3393832"
"3363339","4598647"
"3363344","18"
"3364427","140"
"3366795","2558660"
"3368137","1291255"
"3372268","6145"
"3372729","8"
"3376634","1690899"
"3383573","2165"
"3384814","61350"
"3385944","948332"
"3391460","3804051"
"3391976","1333502"
"3393314","1043256"
"3393986","141"
"3395008","197954"
"3396515","615320"
"3397215","150"
"3397563","1427398"
"3407084","21"
"3408927","4133326"
"3411383","4308028"
"3411818","43"
"3412203","848"
"3415029","938"
"3415418","2589644"
"3420738","75"
"3422759","5168413"
"3423542","636"
"3427460","45"
"3430016","4832"
"3432911","36"
"3436710","52"
"3437057","65"
"3437464","3524466"
"3441282","107"
"3442575","607567"
"3442781","336204"
"3443645","113"
"3443677","10"
"3447590","971073"
"3451874","60"
"3452659","18"
"3453387","15"
"3454523","1452"
"3455472","266224"
"3456922","13203"
"3460971","198"
"3461661","163"
"3462473","2131538"
